Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
29363318,The Remedy: Queer and Trans Voices on Health and Health Care,Zena Sharman,"Sharman, Zena","Sinclair Sexsmith, Cooper Lee Bombardier","=""1551526581""","=""9781551526584""",0,4.49,Arsenal Pulp Press,Paperback,256,2016,,,2019/06/02,to-read,to-read (#131),to-read,,,,0,,,0,,,,,
1814246,From Outrage to Courage: The Unjust and Unhealthy Situation of Women in Poor Countries and What They Are Doing About It,Anne Firth Murray,"Murray, Anne Firth",Paul Farmer,"=""1567513905""","=""9781567513905""",0,4.29,Common Courage Press,Paperback,400,2008,2007,,2019/06/02,to-read,to-read (#130),to-read,,,,0,,,0,,,,,
7800951,War Is Not Over When It's Over: Women and the Consequences of Conflict,Ann Jones,"Jones, Ann",,"=""""","=""9780805091113""",0,4.14,Metropolitan Books,Hardcover,256,2010,2010,,2019/06/02,to-read,to-read (#129),to-read,,,,0,,,0,,,,,
37638184,Equality for Women = Prosperity for All: The Disastrous Global Crisis of Gender Inequality,Augusto López-Claros,"López-Claros, Augusto",Bahíyyih Nakhjavání,"=""1250051185""","=""9781250051189""",0,4.09,St. Martin's Press,Hardcover,320,2018,,,2019/06/02,to-read,to-read (#128),to-read,,,,0,,,0,,,,,
42180210,Life in the Garden,Penelope Lively,"Lively, Penelope",,"=""052555839X""","=""9780525558392""",0,3.59,Penguin Books,Paperback,208,2019,,,2019/05/28,to-read,to-read (#127),to-read,,,,0,,,0,,,,,
16128761,"Seaweeds: Edible, Available, and Sustainable",Ole G. Mouritsen,"Mouritsen, Ole G.","Mariela Johansen, Jonas Drotner Mouritsen","=""022604436X""","=""9780226044361""",0,4.18,University Of Chicago Press,Hardcover,304,2013,2013,,2019/05/26,to-read,to-read (#126),to-read,,,,0,,,0,,,,,
8444621,Through the Language Glass: Why the World Looks Different in Other Languages,Guy Deutscher,"Deutscher, Guy",,"=""080508195X""","=""9780805081954""",0,3.90,Metropolitan Books,Hardcover,304,2010,2010,,2019/05/26,to-read,to-read (#125),to-read,,,,0,,,0,,,,,
43121724,Mighty Justice: My Life in Civil Rights,Dovey Johnson Roundtree,"Roundtree, Dovey Johnson",Katie McCabe,"=""1616209550""","=""9781616209551""",0,4.91,Algonquin Books,Paperback,304,2019,,,2019/05/26,to-read,to-read (#124),to-read,,,,0,,,0,,,,,
41135958,The Edge of Every Day: Sketches of Schizophrenia,Marin Sardy,"Sardy, Marin",,"=""1524746932""","=""9781524746933""",0,4.10,Pantheon Books,Hardcover,304,2019,2019,,2019/05/26,to-read,to-read (#123),to-read,,,,0,,,0,,,,,
38832125,Steep Trails - John Muir [ 25Th Anniversary & Unabridged Classic - Penguin Classics ] (ANNOTATED),John Muir,"Muir, John",,"=""""","=""""",4,3.95,,Kindle Edition,227,2018,1918,2014/01/01,2018/11/18,,,read,,,,1,,,0,,,,,
1624,West with the Night,Beryl Markham,"Markham, Beryl",,"=""0865471185""","=""9780865471184""",4,4.19,North Point Press,Paperback,294,1983,1942,,2018/11/18,,,read,,,,1,,,0,,,,,
6375561,The Elephant Whisperer,Lawrence Anthony,"Anthony, Lawrence",Graham Spence,"=""0283070870""","=""9780283070877""",5,4.46,Sidgwick & Jackson Ltd,Hardcover,368,2009,2009,2016/01/01,2018/01/03,recommendations,recommendations (#32),read,,,,1,,,0,,,,,
