,ISBN13,Title,Author,My Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Added,Private Notes,recommended
697,9780857521224,A Slip of the Keyboard: Collected Non-Fiction,Terry Pratchett,1,Doubleday,315.0,2014.0,2014.0,2018-06-10,,False
698,9781444734140,Is It Just Me?,Miranda Hart,1,Hodder & Stoughton,323.0,2012.0,2012.0,2018-06-21,,False
699,9780393355475,Storm in a Teacup: The Physics of Everyday Life,Helen Czerski,3,W. W. Norton  Company,288.0,2018.0,2017.0,2018-06-02,,False
700,9780691167428,The Serengeti Rules: The Quest to Discover How Life Works and Why It Matters,Sean B. Carroll,3,Princeton University Press,280.0,2016.0,2016.0,2018-02-22,,False
701,9780199569700,The Planet in a Pebble: A Journey Into Earth's Deep History,Jan Zalasiewicz,5,"Oxford University Press, USA",234.0,2010.0,2010.0,2018-02-03,,True
702,9780198784937,Oxygen: The Molecule That Made the World,Nick Lane,5,"Oxford University Press, USA",384.0,2016.0,2002.0,2018-03-20,,False
703,9780008104665,The Wood for the Trees: The Long View of Nature from a Small Wood,Richard Fortey,5,William Collins,320.0,2016.0,2016.0,2018-04-27,,False
704,9780857521453,Meadowland: The Private Life of an English Field,John Lewis-Stempel,2,Doubleday,293.0,2014.0,2014.0,2018-03-02,,False
705,9781501144318,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,5,Scribner,368.0,2017.0,2017.0,2018-04-28,,True
706,9780525954828,"The Big Picture: On the Origins of Life, Meaning, and the Universe Itself",Sean Carroll,2,Dutton,480.0,2016.0,2016.0,2018-03-29,,False
707,9780199641017,What Is Life?: How Chemistry Becomes Biology,Addy Pross,2,"Oxford University Press, USA",200.0,2012.0,2012.0,2018-03-02,,False
708,,Deadly Companions: How Microbes Shaped our History (Oxford Landmark Science),Dorothy H. Crawford,2,OUP Oxford,288.0,2018.0,2007.0,2018-05-20,,False
709,9780393352979,"The Vital Question: Energy, Evolution, and the Origins of Complex Life",Nick Lane,5,W. W. Norton  Company,368.0,2016.0,2015.0,2018-02-22,,False
710,9780199941315,The Amoeba in the Room: Lives of the Microbes,Nicholas P. Money,3,"Oxford University Press, USA",220.0,2014.0,2014.0,2018-01-03,,False
711,9781633881525,The Mysterious World of the Human Genome,Frank   Ryan,5,Prometheus Books,300.0,2016.0,2015.0,2018-01-03,,False
712,,The Epigenetics Revolution,Nessa Carey,4,,320.0,,2011.0,2018-01-21,,False
713,9781476795997,Being a Dog: Following the Dog Into a World of Smell,Alexandra Horowitz,3,Scribner,336.0,2016.0,2016.0,2018-05-19,,False
714,9780393353662,Are We Smart Enough to Know How Smart Animals Are?,Frans de Waal,5,W. W. Norton  Company,275.0,2017.0,2016.0,2018-07-05,,True
715,9780465031016,Cat Sense: How the New Feline Science Can Make You a Better Friend to Your Pet,John   Bradshaw,3,Basic Books,307.0,2013.0,2013.0,2018-06-28,,False
716,9781250065889,A Buzz in the Meadow: The Natural History of a French Farm,Dave Goulson,4,Picador,288.0,2015.0,2014.0,2018-01-21,,False
717,9780060957377,Winter World: The Ingenuity of Animal Survival,Bernd Heinrich,5,Harpperen,368.0,2003.0,2003.0,2018-01-03,,False
718,9781455513222,Seeds of Hope: Wisdom and Wonder from the World of Plants,Jane Goodall,3,Grand Central Publishing,370.0,2013.0,2013.0,2018-04-20,,False
719,9781771642484,"The Hidden Life of Trees: What They Feel, How They Communicate – Discoveries from a Secret World",Peter Wohlleben,3,Greystone Books,288.0,2016.0,2015.0,2018-04-20,,False
720,9780525427520,The Songs of Trees: Stories from Nature's Great Connectors,David George Haskell,2,Viking,304.0,2017.0,2017.0,2018-03-11,,False
721,9780198798323,The Emerald Planet: How Plants Changed Earth's History,David Beerling,5,"Oxford University Press, USA",416.0,2017.0,2007.0,2018-04-13,,False
722,9780870714993,Gathering Moss: A Natural and Cultural History of Mosses,Robin Wall Kimmerer,3,Oregon State University Press,168.0,2003.0,2003.0,2018-01-09,,False
723,9780226264707,Plant Communication and Information Sensing,Richard Karban,3,University Of Chicago Press,240.0,2015.0,2015.0,2018-02-20,,False
724,9780374288730,What a Plant Knows: A Field Guide to the Senses,Daniel Chamovitz,5,"Scientific American / Farrar, Straus and Giroux",177.0,2012.0,2012.0,2018-01-03,,True
725,9780231159104,Neurogastronomy: How the Brain Creates Flavor and Why It Matters,Gordon M. Shepherd,4,Columbia University Press,288.0,2011.0,2011.0,2018-01-03,,False
726,9781405811644,Violence in Medieval Europe,Warren C. Brown,5,Routledge,328.0,2010.0,2010.0,2018-02-04,,False
727,9780190625696,Raciolinguistics: How Language Shapes Our Ideas about Race,H. Samy Alim,5,"Oxford University Press, USA",376.0,2016.0,,2018-01-03,,True
